新   斤,"新   斤     new   シン、あたら-しい、あら-た、にい shin, atara-shii, ara-ta, nii    Strokes: 13"
親   見,"親   見     parent   シン、おや、した-しい、した-しむ shin, oya, shita-shii, shita-shimu    Strokes: 16"
図   囗,"図   囗     diagram   ズ、ト、はか-る zu, to, haka-ru    Strokes: 7"
数   攴,"数   攴     number   スウ、（ス）、かず、かぞ-える sū, (su), kazu, kazo-eru    Strokes: 13"
西   襾,"西   襾     west   セイ、サイ、にし sei, sai, nishi    Strokes: 6"
声   耳,"声   耳     voice   セイ、（ショウ）、こえ、（こわ） sei, (shō), koe, (kowa)    Strokes: 7"
星   日,"星   日     star   セイ、（ショウ）、ほし sei, (shō), hoshi    Strokes: 9"
晴   日,"晴   日     clear up   セイ、は-れる、は-らす sei, ha-reru, ha-rasu    Strokes: 12"
切   刀,"切   刀     cut   セツ、（サイ）、き-る、き-れる setsu, (sai), ki-ru, ki-reru    Strokes: 4"
雪   雨,"雪   雨     snow   セツ、ゆき setsu, yuki    Strokes: 11"
船   舟,"船   舟     boat   セン、ふね、（ふな） sen, fune, (funa)    Strokes: 11"
線   糸,線   糸     line   セン sen    Strokes: 15
前   刀,"前   刀     in front   ゼン、まえ zen, mae    Strokes: 9"
組   糸,"組   糸     association   ソ、く-む、くみ so, ku-mu, kumi    Strokes: 11"
走   走,"走   走     run   ソウ、はし-る sō, hashi-ru    Strokes: 7"
多   夕,"多   夕     many   タ、おお-い ta, oo-i    Strokes: 6"
太   大,"太   大     thick   タイ、タ、ふと-い、ふと-る tai, ta, futo-i, futo-ru    Strokes: 4"
体   骨,"体   骨     body   タイ、テイ、からだ tai, tei, karada    Strokes: 7"
台   至,"台   至     pedestal   ダイ、タイ dai, tai    Strokes: 5"
地   土,"地   土     ground   チ、ジ chi, ji    Strokes: 6"
池   水,"池   水     pond   チ、いけ chi, ike    Strokes: 6"
知   矢,"知   矢     know   チ、し-る chi, shi-ru    Strokes: 8"
茶   艸,"茶   艸     tea   チャ、サ cha, sa    Strokes: 9"
昼   日,"昼   日     daytime   チュウ、ひる chū, hiru    Strokes: 9"
長   長,"長   長     long   チョウ、なが-い chō, naga-i    Strokes: 8"
鳥   鳥,"鳥   鳥     bird   チョウ、とり chō, tori    Strokes: 11"
朝   月,"朝   月     morning   チョウ、あさ chō, asa    Strokes: 12"
直   目,"直   目     straight   チョク、ジキ、ただ-ちに、なお-す、なお-る choku, jiki, tada-chini, nao-su, nao-ru    Strokes: 8"
通   辵,"通   辵     pass through   ツウ、（ツ）、とお-る、とお-す、かよ-う tsū, (tsu), too-ru, too-su, kayo-u    Strokes: 10"
弟   弓,"弟   弓     younger brother   テイ、（ダイ）、（デ）、おとうと tei, (dai), (de), otōto    Strokes: 7"
店   广,"店   广     shop   テン、みせ ten, mise    Strokes: 8"
点   黑,点   黑     point   テン ten    Strokes: 9
電   雨,電   雨     electricity   デン den    Strokes: 13
刀   刀,"刀   刀     sword   トウ、かたな tō, katana    Strokes: 2"
冬   冫,"冬   冫     winter   トウ、ふゆ tō, fuyu    Strokes: 5"
当   田,"当   田     hit   トウ、あ-たる、あ-てる tō, a-taru, a-teru    Strokes: 6"
東   木,"東   木     east   トウ、ひがし tō, higashi    Strokes: 8"
答   竹,"答   竹     answer   トウ、こた-える、こた-え tō, kota-eru, kota-e    Strokes: 12"
頭   頁,"頭   頁     head   トウ、ズ、（ト）、あたま、かしら tō, zu, (to), atama, kashira    Strokes: 16"
同   口,"同   口     same   ドウ、おな-じ dō, ona-ji    Strokes: 6"
道   辵,"道   辵     road   ドウ、（トウ）、みち dō, (tō), michi    Strokes: 12"
読   言,"読   言     read   ドク、トク、（トウ）、よ-む doku, toku, (tō), yo-mu    Strokes: 14"
内   入,"内   入     inside   ナイ、（ダイ）、うち nai, (dai), uchi    Strokes: 4"
南   十,"南   十     south   ナン、（ナ）、みなみ nan, (na), minami    Strokes: 9"
肉   肉,肉   肉     meat   ニク niku    Strokes: 6
馬   馬,"馬   馬     horse   バ、うま、（ま） ba, uma, (ma)    Strokes: 10"
売   貝,"売   貝     sell   バイ、う-る、う-れる bai, u-ru, u-reru    Strokes: 7"
買   貝,"買   貝     buy   バイ、か-う bai, ka-u    Strokes: 12"
麦   麥,"麦   麥     wheat   バク、むぎ baku, mugi    Strokes: 7"
